ID,Title,Description,Role
US001,Register Account,"As a prospective user, I want to register an account so that I can access the club management system. Acceptance Criteria: User can input email, password, and basic profile information; System validates email format and password strength (e.g., minimum 8 characters); User receives a confirmation email with a verification link; Verified users can log in after registration.",Prospective User
US002,Log In to Account,"As a registered user, I want to log in to my account so that I can access system features. Acceptance Criteria: User can log in with email and password; System displays an error for invalid credentials; Session persists until logout or timeout (e.g., 24 hours).",Registered User
US003,Log Out of Account,"As a logged-in user, I want to log out so that my session is securely terminated. Acceptance Criteria: User can log out via a button or menu option; System ends the session and redirects to the login page.",Registered User
US004,Reset Password,"As a user, I want to reset my password so that I can regain access if I forget my credentials. Acceptance Criteria: User can request a password reset via email; System sends a secure reset link valid for 24 hours; User can set a new password meeting strength requirements.",Registered User
US005,Update Account Information,"As a user, I want to update my account information so that my profile remains accurate. Acceptance Criteria: User can edit name, email, phone, or other profile details; System validates updated information (e.g., email format); Changes are saved and reflected across the system.",Registered User
US006,Delete Account,"As a user, I want to delete my account so that my data is removed from the system. Acceptance Criteria: User can request account deletion with confirmation prompt; System removes all user data per privacy regulations; User is logged out and cannot log in again.",Registered User
US007,Filter/Search Clubs,"As a user, I want to filter or search for clubs so that I can find clubs that match my interests. Acceptance Criteria: User can search by club name, category, or location; System displays filtered results with basic club details; Results are sortable by relevance or name.",Prospective User
US008,View Club Information,"As a user, I want to view detailed club information so that I can learn about its activities and purpose. Acceptance Criteria: Club page displays description, contact info, and member count; User can view upcoming events and recruitment campaigns; Information is accessible without membership.",Prospective User
US009,Create Recruitment Campaign,"As a club admin, I want to create a recruitment campaign so that new members can join the club. Acceptance Criteria: Admin can set campaign details (e.g., start/end date, requirements); Campaign is visible to users on the club’s page; System notifies admins when new applications are submitted.",Club Admin
US010,View Recruitment Campaign Details,"As a user, I want to view details of a club’s recruitment campaign so that I can decide to apply. Acceptance Criteria: Campaign page shows description, dates, and application process; Users can access the application form directly.",Prospective User
US011,Apply to Join Club,"As a user, I want to apply to join a club so that I can become a member. Acceptance Criteria: User can submit an application form with required details; System confirms submission and notifies the applicant; Application is visible to club admins for review.",Registered User
